"みたい","mitai","na-adj","like","明子ちゃんみたいにきれいな女の子は見たことがない","I have never seen such a beautiful girl as Akiko"
"ここ","koko","pron","here","ここから彼の家まで一時間かかる","It takes an hour from here to his house"
"いろいろ","iroiro","adv",", na-adj various","その国立公園ではいろいろな動物が見られる","You can see various animals in the national park"
"一","ichi","num","one","一からやる","Start from scratch (Start from the beginning )"
"そう","sou","n",", na-adj be about to","彼女は今にも泣きそうだった","She was almost crying"
"行なう","okonau","v","do, carry out, hold","明日、会議が行う予定だ","We will have a meeting tomorrow"
"一番","ichiban","adv","number one, first, most","昨日はこの冬で一番寒い日だった","Yesterday was the coldest day of this winter"
"二","ni","num","two","テストの成績がクラスで二番だった","I got the second best score in my class in the examination"
"同じ","onaji","adn","same","私たちは同じ飛行機で大阪まで行った","We took the same flight to Osaka"
"まず","mazu","adv","first; anyway","まず、玉ねぎを炒め、次に肉を入れてください","First, fry the onions, and then the meat"
"必要","hitsuyou","na-adj","necessary n necessity","必要な情報を集めている","I am collecting the necessary information"
"仕事（する）","shigoto(suru)","n","work, job v work","彼は新しい仕事を探している","He is looking for a new job"
"余り","amari","adv","the rest n (not) much","うちの息子はあまり野菜が好きじゃない","My son doesn’t like vegetables very much"
"僕","boku","pron","I (used by male speakers)","僕はサッカーが好きだ","I like football"
"彼","kare","pron","he","彼は私の兄です","He is my elder brother"
"方","kata","n","person, man","この方は山田さんです","This is Mr Yamada"
"食べる","taberu","v","eat","彼女はよく食べる","She eats a lot"
"ほど","hodo","p","about; extent","一時間ほどで戻ります","I’ll be back in an hour or so"
"しかし","shikashi","conj","but, however","彼はよく勉強したしかし、試験に合格できなかった","He studied hard, but he couldn’t pass the exam"
"書く","kaku","v","write","名前と住所を書くのを忘れずに","Make sure you write your name and address"
"入れる","ireru","v","put in; include","カバンに財布を入れるのを忘れてしまった","I forgot to put my wallet in my bag"
"次","tsugi","n","next, following, coming","次の日曜日、うちに来ませんか","How about coming to our house next Sunday?"
"結構","kekkou","adv","quite na-adj good","東京の冬は結構寒い","Winter in Tokyo is quite cold"
"問題","mondai","n","problem, question","その問題をできるだけ早く解決したい","I want to solve the problem as soon as possible"
"例えば","tatoeba","adv","for example, such as","この畑では野菜、例えばジャガイモやトマトを作っています","Vegetables such as potatoes and tomatoes are grown in this field"
"目，眼","me","n","eye","彼女は目が大きい","She has big eyes"
"頃","koro","n","time, about, when","子供の頃、その町に住んでいた","I lived in the town when I was a child"
"上","ue","n","top; above; up; on","机の上に本があります","There is a book on the desk"
"他","hoka","n","other, another; else","他に質問はありませんか","Do you have any other questions?"
"いつ","itsu","pron","when","いつ日本へ来ますか","When are you coming to Japan?"
"付く","tsuku","v","stick; be stained with","服にインクのしみが付いた","My clothes were stained with ink"
"出す","dasu","v","take out; pay; send","その手紙は昨日出しました","I sent the letter yesterday"
"一人","hitori","n","one person; alone","料金は一人五千円です","The charge is five thousand yen per person"
"人間","ningen","n","human being, man","人間は神の前でみな平等だ","All men are equal before God"
"どこ","doko","pron","where","どこへ行くんですか","Where are you going?"
"時間","jikan","n","time","もう行く時間だ","It’s time to go"
"ただ","tada","conj","just adv only, just, merely","彼女は美人だただ、わがままだ","She is beautiful, but selfish ただ聞いてみただけです — I just wanted to ask"
"だから","dakara","conj","so, therefore, because","彼はハンサムで金持ちだだから、女性にもてる","He is popular among women, because he is handsome and rich"
"違う","chigau","v","be different; be wrong","彼の意見は私のと違う","His opinion is different from mine"
"受ける","ukeru","v","get, receive, take","私は大学から奨学金を受けている","I receive a scholarship from the university"
"言葉","kotoba","n","word; language","外国での生活は言葉や習慣が違うので大変だ","Living in a foreign country is difficult because of the different customs and language"
"なんか","nanka","p","such as, like","彼なんかにできるはずがない","Someone like him could never do it"
"少し","sukoshi","adv","a little, a few","少し疲れました","I’m a bit tired"
"まま","mama","adv","as it is","眼鏡をかけたまま眠ってしまった","I slept with my glasses on"
"買う","kau","v","buy","彼は車を買った","He bought a car"
"まだ","mada","n","yet, still","まだ雨が降っている","It is still raining"
"手","te","n","hand","父の手は大きい","My father has big hands"
"話す","hanasu","v","talk, tell, speak","日本語が話せますか","Can you speak Japanese?"
"好き","suki","na-adj","favorite, like, love","好きな食べ物は何ですか？","What is your favorite food?"
"返る","kaeru","v","return","私の本を返してくれませんか","Can you return my book to me?"
"掛ける","kakeru","v","hang; take; cost","壁に絵を掛けた","I hung the picture on the wall"
"終わる","owaru","v","end, finish","仕事が終わったら飲みに行きましょう","Let’s go out for a drink after work"
"意味（する）","imi(suru)","n","meaning, sense v mean","それはどういう意味ですか","What does it mean?"
"いろんな","ironna","adn","various","そのパーティーではいろんな料理が出された","All kinds of foods were served at the party"
"付ける","tsukeru","v","put; attach; apply","私のパンにジャムを付けてくれますか","Can you put some jam on my bread?"
"形","katachi","n","form, shape, figure","このリンゴは形が良い","This apple has a nice shape"
"かなり","kanari","adv","considerably, rather","今度の彼の作品は、前回のものとかなり違う","His work this time is quite different from last time"
"三","san","n","three","この春、彼は三回目の結婚をした","He got married for the third time this spring"
"最初","saisho","n","first","最初は誰でも初心者だ","Everyone is a beginner at first"
"間","aida","n","distance; period","彼女とは長い間会っていない","I have not seen her for a long time"
"感じる","kanjiru","v","feel","空腹を感じる","I feel hungry"
"しか","shika","p","only, just, no more than","砂糖は少ししか残っていない","There is only a bit of sugar left"
"かかる","kakaru","v","hang; take; cost","子どもを育てるのにはお金がかかる","It costs a lot to raise children"
"大きな","ookina","adn","big, large, great","大きな家に住みたい","I want to live in a big house"
"住む","sumu","v","live","私は東京に住んでいる","I live in Tokyo"
"最近","saikin","n","recently, lately","私は最近忙しい","I’ve been busy recently"
"特に","tokuni","adv","especially, particularly","コーヒーの中でも特に濃いコーヒーが好きです","I like coffee, particularly strong ones"
"誰","dare","pron","who, whose, whom","誰を待っているんですか","Who are you waiting for?"
"こんな","konna","adn","such, like that","こんなことはもう二度としません","I’ll never do such a thing again"
"友達","tomodachi","n","friend","彼は私の友達です","He is a friend of mine"
"大きい","ookii","i-adj","big, large, great","大きい犬が吠えている","A big dog is barking"
"すぐ","sugu","adv","soon","彼はすぐ帰ってきますよ","He will come back soon"
"一緒","issho","n","together, with","友達と一緒に買い物に行った","I went shopping with my friends"
"生活（する）","seikatsu(suru)","n","life v live","日本の生活は慣れましたか","Did you get used to living in Japan?"
"国","kuni","n","country","私の国では雪が全く降らない","It never snows in my country"
"あげる","ageru","v","raise, lift","質問があれば手をあげてください","Please raise your hand if you have a question"
"高い","takai","i-adj","high, tall; expensive","彼は背が高い","He is tall"
"なんて","nante","p","[expresses belittlement]","彼女がタバコをやめたなんて信じられない","I can’t believe that she quit smoking"
"悪い","warui","i-adj","bad","気分が悪い","I feel sick"
"気持ち","kimochi","n","feeling","風呂は気持ちがいい","It feels good to take a bath"
"乗る","noru","v","ride, get on, take","私は東京駅から電車に乗った","I took a train from Tokyo station"
"見える","mieru","v","see, be seen","ここから富士山が見える","I can see Mt Fuji from here"
"変わる","kawaru","v","change","彼の考えは変わった","His idea has changed"
"べし","beshi","aux","must, should","結果は推して知るべし","It should be easy to guess the results"
"あるいは","aruiwa","conj","or; perhaps, probably, maybe","日本からアフリカへは、ヨーロッパ、あるいは中東経由で行ける","One can go to Africa from Japan either via Europe or the Middle East"
"大変","taihen","na-adj","serious, terrible; hard, difficult","大きな家を掃除するのは大変だ","It’s hard work to clean a big house"
"会社","kaisha","n","company, firm","父は貿易会社に勤めている","My father works for a trading company"
"ほとんど","hotondo","adv","almost, nearly","ほとんどの人は彼の話を信じた","Most people believed his story"
"実際","jissai","n","actually, in fact","それは実際あったことです","It actually happened"
"先生","sensei","n","teacher","先生に質問した","I asked the teacher a question"
"彼女","kanojo","pron","she; girlfriend","彼女を両親に紹介した","I introduced my girlfriend to my parents"
"二人","futari","n","two people","この車には二人しか乗ることができない","Only two people can ride in this car"
"心","kokoro","n","mind, heart; thought; feeling","心からあなたを愛している","I love you with all my heart"
"あの","ano","adn","that, those","あの建物は博物館です","That building is a museum"
"らしい","rashii","aux","seem, look","あの女はまだ生きているらしい","It seems that that woman is still alive"
"ある","aru","adn","one, a, some, a certain","私は去年、あるプロジェクトに関わった","I joined a certain project last year"
"金","kane","n","money","金がすべてではない","Money isn’t everything"
"顔","kao","n","face","毎朝、顔を洗う","I wash my face every morning"
"ずっと","zutto","adv","all the time, for a long time","今までずっとここにいたんですか","Have you been here all the time?"
"さらに","sarani","adv","again, still more, moreover","その会社はさらに成長するだろう","The company is likely to grow further"
"町，街","machi","n","town, city","この町には高校がない","This town does not have any high schools"
"及び","oyobi","conj","and, as well as","その会社は東京及び埼玉で事業を展開している","The company operates in Tokyo and Saitama"
"たくさん","takusan","adv","many, much","たくさんの人達がパーティーに来ていた","Many people came to the party"
"いー","ii","interj","good, great","いー、これ","This is great"
"大体","daitai","adv","almost, nearly","仕事は大体終わった","I’ve almost finished the work"
"もちろん","mochiron","adv","of course, needless to say","喫煙が体に悪いことはもちろん知っています","Of course I know that smoking is not good for one’s health"
"読む","yomu","v","read","毎朝、新聞を読む","I read a newspaper every morning"
"人たち","hito-tachi","n","people","若い人達に教えられた","I learned from young people"
"今日","kyou","n","today","今日は金曜日です","It’s Friday today"
"昔","mukashi","n","ancient times, in the past, once","昔、ここに寺があった","There used to be a temple here"
"うん","un","interj","yes, yeah","「宿題やったの」「うん」—","“Did you finish your homework?” “Yeah ”"
"すべて","subete","n","everything, all","これらの本は全て読みました","I have read all these books"
"教える","oshieru","v","teach, tell","私は英語を教えています","I teach English"
"ばかり","bakari","p","only, just, almost","今朝、着いたばかりです","I arrived here only this morning"
"なぜ","naze","adv","why","なぜ学校へ行かなかったの","Why didn’t you go to school?"
"水","mizu","n","water","グラスから水がこぼれた","Water spilled from the glass"
"当時","touji","n","then, at that time","当時、日本の物価はもっと高かった","The prices in Japan were higher then"
"場所","basho","n","place, spot, position","ソファーを置く場所を変えましょう","Let’s change the position of the sofa"
"置く","oku","v","put, place; leave","部屋に荷物を置いた","I put my bag in the room"
"楽しい","tanoshii","i-adj","pleasant, happy, enjoyable","とても楽しかったです","I had a very good time"
"声","koe","n","voice","彼は小さな声で話した","He talked in a low voice"
"普通","futsuu","na-adj","normal, regular, ordinary, common","彼女は普通じゃない","She is not normal"
"残る","nokoru","v","remain, be left","仕事を終えるために一人でオフィスに残った","I stayed in the office alone to finish the work"
"最後","saigo","n","last, end","これが最後のチャンスだ","This is the last chance"
"車","kuruma","n","car; wheel","彼女は車で買い物に出かけた","She went shopping by car"
"初めて","hajimete","adv","for the first time, first","彼と初めて会ったのは去年の夏です","I met him last summer for the first time"
"今度","kondo","n","this time, next time","今度の日曜日、映画を見に行きませんか","Would you like to go to see a movie next Sunday?"
"体","karada","n","body","昨日フルマラソンに出たので体が痛い","My body aches from running a marathon yesterday"
"強い","tsuyoi","i-adj","strong, powerful","彼は力が強い","He is strong"
"全く","mattaku","adv","entirely, completely; (not) at all","二人は兄弟だが、性格は全く違う","They are brothers, but their characters are completely different"
"呼ぶ","yobu","v","call","タクシーを呼んでください","Please call a taxi for me"
"結局","kekkyoku","adv","after all, in the end, finally","よく考えたが、結局、新車は買わないことにした","I decided not to buy a new car after all"
"歩く","aruku","v","walk","祖母はゆっくり歩く","My grandma walks slowly"
"男","otoko","n","man, male","彼は男の中の男だ","He is a real man"
"女性","josei","n","woman, female","男性より女性のほうが長生きする","Women live longer than men"
"学校","gakkou","n","school","私は歩いて学校へ通っている","I go to school on foot"
"生きる","ikiru","v","live","九十歳まで生きる人は多くない","There are not many people who live up to ninety years old"
"なかなか","nakanaka","adv","very, quite; (not) easily","彼はなかなかテニスが上手い","He plays tennis quite well"
"先","saki","n","end, front","その犬は尻尾の先が茶色い","The end of the dog’s tail is brown"
"もっと","motto","adv","more","もっといい方法があるはずだ","There must be a better way"
"テーマ","teema","n","theme, subject","論文のテーマは何ですか","What is the theme of your thesis?"
"世界","sekai","n","world","これは世界で一番高いビルです","This is the tallest building in the world"
"状態","joutai","n","state, conditions","患者は危険な状態だ","The patient is in a critical condition"
"と","to","interj","well, erm (abbreviation of “eeto”)","と，まあ，そんな感じです","Erm, well, something like that"
"もし","moshi","adv","if, in case","もしお金があったら、海外旅行がしたい","If I had enough money, I would travel abroad"
"全然","zenzen","adv","(not) at all; utterly, completely","その新しいテレビドラマは全然面白くない","The new TV drama series isn’t interesting at all"
"飲む","nomu","v","drink","昨日の夜は飲みすぎてしまった","I drank too much alcohol last night"
"新しい","atarashii","i-adj","new, fresh","新しいテレビを買った","I bought a new TV"
"早い","hayai","i-adj","early, soon","諦めるのはまだ早い","It’s too early to give up"
"会う","au","v","meet, see","昨日、友達と会った","I met a friend of mine yesterday"
"アメリカ","amerika","n","America","アメリカは大きい","America is big"
"あれ","are","pron","that","あれは誰の車ですか","Whose car is that?"
"小さい","chiisai","i-adj","small, little, tiny","このおもちゃは小さい子供向けです","This toy is for small children"
"相手","aite","n","companion; partner","結婚したくても相手がいません","I’d love to get married but can’t find a partner"
"母","haha","n","mother","私の母は六十歳です","My mother is sixty years old"
"以上","ijou","n","more than; mentioned above; since","七十歳以上の高齢者が毎年増加している","The number of people over seventy years old is increasing every year"
"関係","kankei","n","relationship, connection","我が社は取引先とよい関係を築いている","Our company has established a good business relationship with the client"
"たぶん","tabun","adv","probably, perhaps, maybe","彼女はたぶん来ないでしょう","She probably won’t come"
"店","mise","n","store, shop","通りにはおしゃれな店が並んでいる","The streets are lined with fashionable shops"
"どんな","donna","adn","what, what kind of","明子さんのご主人はどんな人ですか","What is Akiko’s husband like?"
"頭","atama","n","head","彼は頭を掻いた","He scratched his head"
"電話（する）","denwa(suru)","n","(tele)phone, call v (tele)phone, call","電話をお借りしてもいいですか","Can I use your phone?"
"長い","nagai","i-adj","long","彼女は髪が長い","Her hair is long"
"本","hon","n","book","彼はよく本を読んでいる","He often reads books"
"どの","dono","adn","which, what","どの人が田中さんですか","Which is Mr Tanaka?"
"こちら","kochira","pron","this place, here; this way; this","こちらへ来てください","Please come this way"
"いわゆる","iwayuru","adn","what is called, what you call, so-called","これがいわゆるスマートフォンです","This is what is called a smartphone"
"夜","yoru","n","night, evening","昨日の夜、どこにいたんですか","Where were you last night?"
"別","betsu","na-adj","separate, different","恋愛と結婚は別だ","A love affair and a marriage are two different things"
"者","mono","n","person, people","担当の者が戻りましたら、折り返しお電話いたします","When the person in charge comes back, he will call you back"
"タイトル","taitoru","n","title","論文のタイトルを考えている","I’m thinking about the title of my thesis"
"親","oya","n","parent","親を悲しませるようなことはするべきではない","You should not do things that make your parents sad"
"名前","namae","n","name","彼の名前が思い出せない","I can’t remember his name"
"全部","zenbu","adv","all, whole, entire","料理が多すぎて全部食べられなかった","There was too much food, and I couldn’t eat it all"
"皆さん","mina-san","n","everybody, everyone","皆さん、こんばんは","Good evening, everyone"
"きれい","kirei","na-adj","beautiful, pretty; clean","彼の家はいつもきれいだ","His house is always clean"
"立つ","tatsu","v","stand","立ってください","Please stand up"
"毎日","mainichi","adv","every day","毎日コーヒーを飲みます","I drink coffee every day"
"おいしい","oishii","i-adj","delicious, tasty","おいしい料理を食べた","I had a delicious meal"
"家族","kazoku","n","family","クリスマスは毎年家族で過ごします","I spend Christmas with my family every year"
"部分","bubun","n","part, section","間違えた部分を修正してください","Please correct the parts where you made errors"
"結果","kekka","n","result","調査の結果を報告します","I’m going to report the results of the investigation"
"じゃ","ja","conj","well, so, then","じゃ、また明日","So, see you tomorrow"
"状況","joukyou","n","state of affairs, situation","困難な状況の中で、救助活動が続けられている","Rescue efforts are continuing in difficult circumstances"
"時代","jidai","n","time, era","内戦後、平和な時代になった","After the civil war, peace has returned"
"少ない","sukunai","i-adj","a little, a few","日本では年収が六百万円以上ある三十代の男性は少ない","There are few men in their thirties in Japan who earn more than six million yen in a year"
"他","hoka","n","another, other","その国は他の国に比べて資源が豊かだ","The country is rich in natural resources in comparison to other countries"
"うまい","umai","i-adj","delicious, tasty; good at","この酒はうまい","This sake is tasty 彼は歌がうまい — He is a good singer"
"覚える","oboeru","v","learn, remember, memorize","酔っ払っていて、昨夜のことは何も覚えていない","I don’t remember anything about last night, because I got drunk"
"東京","toukyou","n","Tokyo","東京から大阪まで新幹線で約２時間半です","It takes about two and a half hours from Tokyo to Osaka by bullet train"
"続く","tsuzuku","v","continue, go on, last","この不景気は数年間続いている","The recession has continued for several years"
"俺","ore","pron","I (used by male speakers)","彼は「俺について来い」と言った","He said, “Follow me ”"
"生まれる","umareru","v","be born","昨日、赤ちゃんが生まれた","The baby was born yesterday"
"父","chichi","n","father","父はガンで亡くなった","My father died of cancer"
"確か","tashika","na-adj",", adv sure, certain, reliable adv maybe, probably; if I remember rightly, it’s my understanding that","彼の技術は確かだ","His technique is reliable 確か彼はここに来たことがあると思います — If I remember rightly, he has been here before"
"それぞれ","sorezore","n","each","人にはそれぞれ良い時と悪い時がある","Each of us has ups and downs"
"方法","houhou","n","way, method","いい方法を思いつきました","I came up with a good method"
"はず","hazu","n","ought to, should","彼女は今頃そこへ着いているはずだ","She should have arrived there by now"
"説明（する）","setsumei(suru)","n","explanation v explain","詳しく説明してください","Please explain it in detail"
"部屋","heya","n","room","自分の部屋に戻った","I went back to my room"
"ちょうど","choudo","adv","just, exactly","彼は五時ちょうどにここへ来た","He came here at five o’clock exactly"
"当然","touzen","adv",", n naturally, as a matter of course","そう考えるのも当然だ","It is natural for you to think so"
"大学","daigaku","n","university, college","私は地下鉄で大学へ通っている","I go to university by subway"
"実","jitsu","n","truth, true, real","実を言うと、朝から何も食べていないんです","To tell you the truth, I have not eaten anything since this morning"
"朝","asa","n","morning","彼女は朝から晩まで勉強している","She is studying from morning till night"
"どんどん","dondon","adv","rapidly, fast, soon","子供はどんどん大きくなる","Children grow very quickly"
"とにかく","tonikaku","adv","anyway, regardless","とにかく、すぐに来てください","Anyway, please come as soon as possible"
"選ぶ","erabu","v","choose, select","彼女は結婚して主婦になる道を選んだ","She chose to get married and be a housewife"
"面白い","omoshiroi","i-adj","interesting; fun; funny","彼は面白い人です","He is an interesting man"
"戻る","modoru","v","return, go back","一時までに学校へ戻らなければならない","I have to go back to school by"
"勉強（する）","benkyou(suru)","n","study v learn, study","彼は試験のために一生懸命勉強しています","He is studying hard for the exam"
"やめる","yameru","v","stop, give up","彼は煙草をやめた","He gave up smoking"
"下","shita","n","under; below; down; low","セーターの下にシャツを着ている","I am wearing a shirt under my sweater"
"始める","hajimeru","v","start, begin","いつ日本語の勉強を始めたんですか","When did you start studying Japanese?"
"まわり","mawari","n","circumference; surroundings, neighborhood, around","この植物はその湖の周りに生えている","That plant grows around the lake"
"犬","inu","n","dog","外で犬が吠えている","A dog is barking outside"
"必ず","kanarazu","adv","always, certainly, surely","彼は必ず成功するに違いない","He must always succeed"
"残す","nokosu","v","leave","留守番電話にメッセージを残した","I left a message on the answering machine"
"大事","daiji","na-adj","important, serious","明日は大事な会議がある","I have an important meeting tomorrow"
"嬉しい","ureshii","i-adj","glad, happy","試験に合格して嬉しい","I’m glad I passed the exam"
"力","chikara","n","power, strength","彼は力が強い","He is strong"
"遊ぶ","asobu","v","play","コンピューターゲームで遊ぶのが好きだ","I like to play computer games"
"若い","wakai","i-adj","young","その歌手は若い人に人気がある","The singer is popular among young people"
"理由","riyuu","n","reason","彼女が独身でいるのには理由がある","There is a reason why she chooses to remain single"
"女","onna","n","woman, female","あの女の人は誰ですか","Who is that woman?"
"簡単","kantan","na-adj","easy","インスタントラーメンを作るのは簡単だ","It is easy to cook instant noodles"
"始まる","hajimaru","v","start, begin","日本では新学期は四月に始まる","The new school year starts in April in Japan"
"死ぬ","shinu","v","die","人間はいつかは死ぬ","All men must die"
"今回","konkai","n","this time","今回、彼女は大統領に選ばれなかった","This time, she wasn’t elected as President"
"人生","jinsei","n","life","私は彼女に幸せな人生を送ってほしい","I want her to have a happy life"
"通り","touri","n","street; as","言われた通りにやりなさい","Do as you are told"
"内容","naiyou","n","contents","あなたが送る荷物の内容は何ですか","What are the contents of the box you are sending?"
"テレビ","terebi","n","television, TV","今日は一日中テレビを見ていた","I watched TV all day today"
"経験（する）","keiken(suru)","n","experience v experience","彼は仕事の経験がない","He has no job experience"
"木","ki","n","wood; tree","公園に桜の木が植えられた","Cherry trees were planted in the park"
"点","ten","n","point, score","不明な点があれば、私に聞いてください","If you do not understand any points, please ask me"
"自然","shizen","n","nature na-adj natural adv naturally","ここでは豊かな自然が守られている","Rich nature is protected here"
"音","oto","n","sound, noise","車のエンジンの音が聞こえた","I heard the sound of a car engine"
"海","umi","n","sea, ocean","そのホテルの部屋は海に面している","The hotel room faces the ocean"
